S.No,Name,Short Name,Branch Name,City/Area,Email,TIN No,NIC No,VAT No,Business Registration No,SMS Phone,Currency,Sales Type,Payment Terms,DOB,Discount,Credit Limit,Address,Salesman,Location,Tax Group,Sales Discount Account,Receivable Account,Prompt Payment Discount,Credit Allowed,Credit Status,Status,General Notes,Sales Group,Relationship Manager
1,Hotel Kabalana,0763601236,Hotel Kabalana,Ahangama,,,,,-,0763601236,LKR,Retail,COD-IML,0000-00-00,0,0,Mathara road  Kathaluwa  Ahangama.,Rumesh,Default,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
2,Araliya Villa,0763093430,Araliya Villa,Ahangama,,,,,,0763093430,LKR,Retail,15 Days,06/01/2025,0,0,"Kathaluwa, Ahangama.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
3,Rushika Silva,0716637557,Rushika Silva,Ahangama,,,,,,0716637557,LKR,Retail,COD-IML,17/03/2025,0,0,"18/3 A2, Morenda road, Makandana, Madapatha.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
4,Indigo Indian Bar and Kitchen,0772215489,Indigo Indian Bar and Kitchen,Ahangama,,,,,,0772215489,LKR,Retail,15 Days,30/03/2025,0,0,"Opposite of the Police Station, Ahangama. Galle.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,1,Good History,Active,,Hospitality - Retail,
5,Solace Transit Villa,0776699986,Solace Transit Villa,Ahangama,,,,,,0776699986,LKR,Retail,15 Days,17/04/2025,0,0,"No. 245/18, Church Road, Liyanagemulla.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
6,UNU Boutique Hotel,0717076810,UNU Boutique Hotel,Ahangama,,,,,,0717076810,LKR,Retail,COD-IML,08/11/2025,0,0,"No.86, Galle Road, Ahangama.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
7,La Villa Soleil,0714396133,La Villa Soleil,Ahangama,,,,,,0714396133,LKR,Retail,COD-IML,16/12/2024,0,0,"Ampitiyawatta, Walhengoda, Ahangama",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
8,Hotel Ashburnham ,0770234234,Hotel Ashburnham ,Ahangama,,,,,,0770234234,LKR,Retail,COD-IML,07/04/2025,0,0,"Ashburnham Estate Dr, Elkaduwa.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
9,Palm Cove Villa,0778589169,Palm Cove Villa,Ahangama,,,,,,0778589169,LKR,Retail,Bank Transfer,22/07/2025,0,0,"Egodawatta, Kathaluwa, Ahangama.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
10,Cinna Coco Villa,0778535889,Cinna Coco Villa,Ahangama,,,,,,0778535889,LKR,Retail,COD-IML,30/07/2025,0,0,"Lanumodara ,Habaraduwa",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
