type,supplier_id,supp_name,supp_ref,address,supp_address,ntn_no,gst_no,curr_abrev,terms,tax_group,phone,phone2,fax,email,payable_account,payment_discount_account,dimension_id,dimension2_id,,,,,,
SUPPLIER,1,Test Supplier,Test Supplier,,,,,LKR,30 Days,Tax Exempt,,,,,201001,402004,0,0,,,,,,
SUPPLIER,2,4Ever Skin Naturals  Pvt  Ltd.,VD00001,No. 287/2B, Stanley Thilakarathne Mawatha, Nugegoda.,,LKR,30 Days,Tax Exempt,771396517,,,,201001,402004,0,0,,,,,,
SUPPLIER,3,Anim8  Pvt  Ltd.,VD00002,No. 232, Thibirigasyaya RD, Colombo 5.,,,,,,,,,,,,,,,,,,
SUPPLIER,4,Bio Care Consumers,VD00003,No: 142, Kaludewala, Panadura, Sri Lanka.,,,,,,,,,,,,,,,,,
SUPPLIER,5,Black Eagle Holdings  Pvt Ltd.,VD00004,No.307,Kerawalapitiya RD,Handala,Wattala.,,,,,,,,,,,,,,,,,
SUPPLIER,6,C-FILLER PVT LTD,VD00005,Kaluthara.,,,,,,,,,,,,,,,,,,,,
SUPPLIER,7,C & G Solution,VD00006,No. 291/2/A, Lake RD, Boralesgamuwa, Sri Lanka,,,,,,,,,,,,,,,,,
SUPPLIER,8,CEYACC Associate,VD00008,No. 170/3, Mukalana RD, Ilimba, Horana. ,,,,,,,,,,,,,,,,,
SUPPLIER,9,Dollar Corporation,VD00009,No. 14, Dam Street, Colombo - 12, Sri Lanka.,,,,,,,,,,,,,,,,,
SUPPLIER,10,ERP Solutions  Pvt  Ltd.,VD00010,3rd Floor, No.09-2/3, School Lane, Colombo 03,,,,,,,,,,,,,,,,,
SUPPLIER,11,Global Hotel Supplies (Pvt) Ltd.,VD00011,No. 437/B/1, Pannipitiya Rd, Malabe.,,,,LKR,30 Days,Tax Exempt,719530547,763890979,,,201001,402004,0,0,,,,
SUPPLIER,12,Glorchem Enterprise,VD00012,Colombo, Sri Lanka.,,,,,,,,,,,,,,,,,,,
SUPPLIER,13,IML Delivery Systems (Pvt) Ltd.,VD00013,No. 46/56, Lanlib Buliding, Nawam Mawatha, Colombo 2.,,,,,,,,,,,,,,,,,
SUPPLIER,14,Dilanjana Vimukthi - Software developer,743875510,No. 97/18, Senasana RD, Kothalawala, Boralesgamuwa.,,,,,,,,,,,,,,,,,
SUPPLIER,15,Lalan Printing and Packaging (Pvt) Ltd.,VD00015,No. 81/A, Temple RD Nawala.Sri Lanka.,,,,,,,,,,,,,,,,,,,
SUPPLIER,16,LN Paper Converters (Pvt) Ltd.,VD00016,Kamburugallewatte, Unagahadeniya, Ruggahavila.,,,,,,,,,,,,,,,,,,
SUPPLIER,17,Markspen Labels  Pvt Ltd.,VD00017,No. 31, Elhena RD, Maharagama.,,,,,,,,,,,,,,,,,,
SUPPLIER,18,MIHCM Solutions  Pvt Ltd.,VD00018,No.192/10, 9th Lane, Nawala.,,,,,,,,,,,,,,,,,,
SUPPLIER,19,Pal Packaging  Pvt  Ltd.,VD00019,No.3, 4th Cross Lane, Borupana RD, Ratmalana, Sri Lanka.,,,,,,,,,,,,,,,,
SUPPLIER,20,Petform (Pvt) Ltd,VD00020,No.23, Keragala RD, Kanduboda, Delgoda.,,,,,,,,,,,,,,,,,
SUPPLIER,21,Piyoma Chemicals  Pvt  Ltd.,VD00021,No. 34, Madiwela RD, Embuldeniya, Nugegoda.,,,,,,,,,,,,,,,,,
SUPPLIER,22,Prime Packaging  Pvt LTD,VD00022,No. 588/A-18, Ranmuthugala Estate, Kadawatha.,,,,,,,,,,,,,,,,,,
SUPPLIER,23,Bee Pee Packaging (Pvt) Ltd.,VD00023,481, Galawila Road, Homagama.,481, Galawila Road, Homagama.,,,LKR,30 Days,Tax Exempt,764519930,767333654,,,201001,402004,0,0,,
SUPPLIER,24,Pure Miracles,VD00024,No. 40/02, Weliketiya, Pamunugama.,,,,,,,,,,,,,,,,,,
SUPPLIER,25,Purechem Specialty Products (Pvt) Limited,VD00025,No. 09, Hiripitiya, Pannipitya.,,,,,,,,,,,,,,,,,,
SUPPLIER,26,Pureherbs Inventions (Pvt) Ltd.,VD00026,No. 27, 1st Park Lane, Off Pirivena Rd,10390,,,,,,,,,,,,,,,,,
SUPPLIER,27,Ranali Marketing  Pvt  Ltd.,VD00027,No. 437/B/1, Pannipitiya RD, Arangala, Malabe.,,,,,,,,,,,,,,,,,
SUPPLIER,28,Reebonn Lanka  Pvt  Ltd.,VD00028,No: 34  Paratta RD Keselwatta  Panadura.,,,,LKR,30 Days,Tax Exempt,771808771,,,,201001,402004,0,0,,,,,,
SUPPLIER,29,Royal Plastic Company (Pvt) Ltd.,VD00029,No. 34, Paratta RD, Keselwatta, Panadura.,,,,,,,,,,,,,,,,,
SUPPLIER,30,Smart Packging Solutions (Pvt) Ltd.,VD00030,No. 375, Koholwila RD, Kelaniya.,,,,,,,,,,,,,,,,,,
SUPPLIER,31,Soap and Allied Industries (Pvt) Ltd.,VD00031,No. 26/B, Alvis Place, Colombo 3.,,,,,,,,,,,,,,,,,,
SUPPLIER,32,Swift Aroma Trading (Pvt) Ltd.,VD00032,No. 14/5, Havlock City, Havlock Town, Colombo 6.,,,,,,,,,,,,,,,,,
SUPPLIER,33,Technolanka Computer Services (Pvt) Ltd.,VD00033,No. 136/ 22, Mahabodhi Mawatha, Kadawatha.,,,,,,,,,,,,,,,,,,
SUPPLIER,34,TEMPS Palm (Pvt) Ltd.,VD00034,No. 248, Zone 2, Athurugiriya.,,,,,,,,,,,,,,,,,,
SUPPLIER,35,The Bag Factory,VD00035,56/16  Kawdana RD  Dehiwala Sri Lanka.,,,,,,,,,,,,,,,,,,,,
SUPPLIER,36,Weera Trading,VD00036,,,,,LKR,30 Days,Tax Exempt,777455914,,,,201001,402004,0,0,,,,,,
SUPPLIER,37,Aromaaz International (Pvt) Ltd.,VD00037,No. B - 45/8, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India,,,,,,,,,,,,,,,
SUPPLIER,38,Cash Purchase,VD00038,,,,,LKR,15 Days,Tax Exempt,,,,,201001,402004,0,0,,,,,,
SUPPLIER,39,Mahinsa Enterprises,VD00039,No.18/ 28A, 5th Lane, Egodawatta RD, Boralesgamuwa.,,,,,,,,,,,,,,,,,
SUPPLIER,40,DN Enterprises Packing Solutions (Pvt) Ltd.,VD00040,No. 12/11A, Janatha Mawatha, Nawinna, Mharagama.,,,,LKR,15 Days,Tax Exempt,761554185,719014830,,,201001,402004,0,0,,,
SUPPLIER,41,Dakshina Lanka Advertising,VD00040,Maliban Junction, Ratmalana.,,,,LKR,30 Days,Tax Exempt,773056061,112723696,,,201001,501006,0,0,,,,,
SUPPLIER,42,Innovaholdings (Pvt) Ltd.,VD00041,607/B Madamandiya, Panagoda, Homagama.,607/B Madamandiya, Panagoda, Homagama.,,,LKR,15 Days,Tax Exempt,714400744,755309627,,,201001,402004,0,0,,
SUPPLIER,43,E-Screen Systems (Pvt)Ltd.,VD00042,No. 640/1, High Level Roda, Gangodawila, Nugegoda.,No. 640/1, High Level Roda, Gangodawila, Nugegoda.,,,LKR,30 Days,Tax Exempt,714400744,,,,201001,402004,0,0
SUPPLIER,44,Soala Commercial Equipment (Pvt)Ltd,VD00043,159/1, New Kandy Road, Biyagama, Sri Lanka,,,,LKR,30 Days,Tax Exempt,711885137,775707428,,,201001,402004,0,0,,,
